area,description,electricity,elevator,facility,floor,fuel_gas,heating,house_code,house_type,lease,location,orientation,price,stall,tags,title,water,bedroom,living room,bathroom,district,Washing Machine,Air Conditioner,Wardrobe,Television,Refrigerator,Water Heater,Bed,Heating,Broadband,Natural Gas
90.0,,商电,1,,16,0,0,ZH2870119122161901568,1室1厅1卫,整租,横琴区-横琴-璞醍海,东南,4000,暂无数据,非居住房屋,整租·璞醍海 1室1厅 东南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
80.0,,商电,1,,43,0,0,ZH1723295734255583232,1室0厅0卫,整租,横琴区-横琴-富力中心,南,4000,暂无数据,"精装,非居住房屋",整租·富力中心 1室0厅 南,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
68.0,,商电,1,,16,0,0,ZH1828033518710554624,1室1厅1卫,整租,横琴区-横琴-璞醍海,东南,2800,暂无数据,"精装,非居住房屋",整租·璞醍海 1室1厅 东南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
38.0,,民电,1,,23,1,0,ZH1831181211553234944,1室0厅1卫,整租,横琴区-横琴-湾区一号,南,2500,暂无数据,精装,整租·湾区一号 1室0厅 南,民水,1.0,0,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
96.0,,商电,1,,43,0,0,ZH1792927117734838272,1室0厅0卫,整租,横琴区-横琴-富力中心,南,4320,暂无数据,"精装,非居住房屋",整租·富力中心 1室0厅 南,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
133.0,,暂无数据,0,,15,1,0,ZH1817509279494569984,4室2厅3卫,整租,横琴区-横琴-龙光·玖龙玺,东南,15000,暂无数据,精装,整租·龙光·玖龙玺 4室2厅 东南,暂无数据,4.0,2,3,Hengqin District,0,0,0,0,0,0,0,0,0,0
44.0,,暂无数据,0,,3,0,0,ZH1737666408239595520,1室0厅0卫,整租,横琴区-横琴-三一南方总部大厦,东,8800,暂无数据,非居住房屋,整租·三一南方总部大厦 1室0厅 东,暂无数据,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
93.0,,暂无数据,1,,39,1,0,ZH1761718053021679616,3室2厅2卫,整租,横琴区-横琴-中大金融中心,东,3800,暂无数据,"精装,双卫生间",整租·中大金融中心 3室2厅 东,暂无数据,3.0,2,2,Hengqin District,0,0,0,0,0,0,0,0,0,0
42.0,,商电,1,,11,0,0,ZH1811623162106871808,1室1厅1卫,整租,横琴区-横琴-紫檀文化中心,北,1800,暂无数据,"精装,非居住房屋",整租·紫檀文化中心 1室1厅 北,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
77.0,,暂无数据,1,,42,1,0,ZH1706545774927544320,2室1厅1卫,整租,横琴区-横琴-华发广场悦海湾,南,4500,暂无数据,随时看房,整租·华发广场悦海湾 2室1厅 南,暂无数据,2.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
107.0,,商电,1,,3,1,0,ZH1762697443482271744,1室0厅0卫,整租,横琴区-横琴-华融琴海湾,北,13000,暂无数据,"精装,非居住房屋",整租·华融琴海湾 1室0厅 北,商水,1.0,0,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
45.0,,商电,1,,21,0,0,ZH1755965826852192256,1室1厅1卫,整租,横琴区-横琴-横琴万象世界,东南,2200,暂无数据,"精装,非居住房屋",整租·横琴万象世界 1室1厅 东南,商水,1.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
75.0,,暂无数据,0,,7,0,0,ZH1755585969291001856,2室1厅1卫,整租,横琴区-横琴-横琴海河街9号,东南,2100,暂无数据,"精装,随时看房",整租·横琴海河街9号 2室1厅 东南,暂无数据,2.0,1,1,Hengqin District,0,0,0,0,0,0,0,0,0,0
84.0,,民电,1,,11,1,0,ZH1821802169121112064,4室2厅3卫,整租,横琴区-横琴-荔枝湾花园（南区）,南,6000,暂无数据,精装,整租·荔枝湾花园（南区） 4室2厅 南,民水,4.0,2,3,Hengqin District,0,0,0,0,0,0,0,0,0,0
163.0,,商电,1,,19,0,0,ZH1778328183033036800,1室1厅0卫,整租,横琴区-横琴-保利国际广场,东南,4000,暂无数据,非居住房屋,整租·保利国际广场 1室1厅 东南,商水,1.0,1,0,Hengqin District,0,0,0,0,0,0,0,0,0,0
84.0,,民电,1,"洗衣机,空调,衣柜,电视,冰箱,热水器,床,宽带,天然气",32,1,0,ZH1836255731674775552,3室2厅1卫,整租,横琴区-横琴-荔枝湾花园（南区）,南,4500,暂无数据,"新上,精装",整租·荔枝湾花园（南区） 3室2厅 南,民水,3.0,2,1,Hengqin District,1,1,1,1,1,1,1,0,1,1
